dataset_name,OS-CNN,Encoder,FCN,FCN(16),FCN(50),FCN(100),FCN(150),FCN(200),ResNet,MLP,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN,1-NN DTW CV,1-NN DTW,LS,TSBF,EE(PROP),PF,ST,BOSS,WEASEL,Flat-COTE,HIVE-COTE,InceptionTime,OS-CNN-ENS(2),OS-CNN-ENS(3),OS-CNN-ENS(4),OS-CNN-ENS(5),OS-CNN-ENS(6),OS-CNN-ENS(7),OS-CNN-ENS(8)
CricketY,86.72(1.03),67.5(1.0),78.7(1.2),78.7(1.2),82.30769231,85.12820513,84.87179487,81.02564103,80.3(0.8),60.0(0.8),18.4(22.0),8.5(0.0),49.7(4.3),57.0(2.4),65.6(1.3),76.2,74.4,75.13,73.58974359,80.51282051,78.4615385,77.94871795,75.3846154,78.974,82.5641026,84.8717949,85.13,87.33333333,87.02564103,87.41025641,86.79487179,87.17948718,86.8974359,87.28205128
CricketZ,86.31(0.71),69.2(1.0),81.1(1.0),81.1(1.0),80.25641026,78.20512821,81.28205128,84.35897436,81.2(1.4),61.7(0.8),18.3(24.4),6.2(0.0),49.8(3.6),48.8(2.8),62.2(2.3),74.6,75.4,79.95,71.53846154,78.20512821,79.5128205,78.71794872,74.6153846,78.718,81.5384615,83.0769231,86.15,87.05128205,87.66666667,87.92307692,87.76923077,87.71794872,87.94871795,87.94871795
DiatomSizeReduction,97.71(0.79),91.3(1.8),31.3(3.6),31.3(3.6),30.06535948,67.97385621,35.94771242,73.20261438,30.1(0.2),91.0(1.4),30.1(0.7),30.1(0.0),70.3(28.9),95.4(0.7),88.0(6.6),93.5,96.7,96.67,89.86928105,94.44444444,96.4379085,92.48366013,93.1372549,88.562,92.8104575,94.1176471,93.46,97.81045752,97.97385621,97.87581699,97.81045752,97.90849673,98.00653595,98.03921569
DistalPhalanxOutlineAgeGroup,73.81(2.97),73.7(1.6),71.0(1.3),71.0(1.3),69.0647482,71.22302158,71.22302158,71.22302158,71.7(1.3),65.7(1.1),46.8(0.0),44.6(2.3),74.4(2.2),75.2(1.4),71.0(2.1),62.6,77,77.89855072,78.26086957,72.82608696,73.2374101,77.53623188,74.8201439,76.978,76.0869565,76.2589928,73.38,74.02877698,75.53956835,75.32374101,74.5323741,74.67625899,75.03597122,74.82014388
DistalPhalanxOutlineCorrect,76.59(0.73),74.1(1.4),76.0(1.5),76.0(1.5),78.26086957,72.46376812,76.44927536,74.63768116,77.1(1.0),72.6(1.3),58.3(0.0),58.3(0.0),75.3(1.8),75.9(2.0),71.3(1.0),72.5,71.7,71.94244604,71.22302158,69.0647482,76.2318841,76.97841727,72.826087,77.899,74.8201439,77.173913,78.26,76.88405797,77.17391304,76.44927536,76.92028986,76.92028986,77.17391304,77.06521739
DistalPhalanxTW,66.4(1.67),68.8(1.6),69.0(2.1),69.0(2.1),61.8705036,66.90647482,66.90647482,61.8705036,66.5(1.6),61.7(1.3),30.2(0.0),28.3(0.7),67.7(1.8),67.3(2.8),60.9(3.0),63.3,59,62.58992806,67.62589928,64.74820144,66.1870504,66.18705036,67.6258993,67.626,69.7841727,68.3453237,68.35,66.18705036,66.11510791,66.33093525,66.04316547,65.97122302,65.32374101,65.97122302
Earthquakes,66.98(4.98),74.8(0.7),72.7(1.7),72.7(1.7),73.38129496,74.82014388,74.10071942,74.10071942,71.2(2.0),71.7(1.3),74.8(0.0),74.8(0.0),74.9(0.2),70.0(1.9),74.8(0.0),72.7,71.9,74.10071942,74.82014388,74.10071942,75.323741,74.10071942,74.8201439,74.82,74.8201439,74.8201439,74.1,68.56115108,68.63309353,69.0647482,68.41726619,68.84892086,68.63309353,69.20863309
ECG200,90.8(1.25),92.3(1.1),88.9(1.0),88.9(1.0),92,88,91,88,87.4(1.9),91.6(0.7),64.0(0.0),64.0(0.0),83.3(3.9),81.4(1.3),84.2(5.1),88,77,87.4,84,88,89.7,83,87,85,88,85,93,90.7,91.4,91.2,91,91.7,91.4,91.2
ECG5000,94.01(0.14),94.0(0.2),94.0(0.1),94.0(0.1),93.86666667,94,94.08888889,94.08888889,93.4(0.2),92.9(0.1),61.8(10.9),58.4(0.0),93.7(0.6),92.8(0.2),91.9(0.2),92.5,75,93.22222222,93.95555556,93.86666667,93.7555556,94.37777778,94.1333333,94.822,94.6,94.6222222,94.09,94.06222222,94.08222222,94.08222222,94.08444444,94.04888889,94.09555556,94.07555556
ECGFiveDays,99.95(0.14),98.2(0.7),98.7(0.3),98.7(0.3),100,100,100,100,97.5(1.9),97.0(0.5),49.9(0.3),49.7(0.0),76.2(13.4),88.2(1.8),69.8(14.1),79.7,76.8,100,87.68873403,81.99767712,80.5110337,98.37398374,100,100,99.883856,100,100,100,100,100,100,100,100,100
ElectricDevices,72.36(0.83),67.4(1.1),70.2(1.2),70.2(1.2),69.2776553,67.26753988,62.24873557,62.13201919,72.9(0.9),59.2(1.1),33.6(19.8),24.2(0.0),64.4(1.2),68.1(1.0),60.7(0.7),62.5,60.1,58.7472442,70.25029179,66.29490338,68.8509921,74.69848269,79.9247828,73.285,71.3266762,77.0328103,72.39,73.26287122,73.7154714,73.55466217,73.68694073,73.864609,73.89313967,73.86849955
FaceAll,84.47(2.94),79.3(0.8),94.5(0.9),94.5(0.9),86.09467456,79.46745562,80.23668639,81.06508876,83.9(2.0),79.3(1.1),17.0(19.5),8.0(0.0),71.7(2.3),76.8(1.1),65.7(2.5),80.8,80.8,78.25,74.43786982,84.85207101,92.7278107,77.86982249,78.1656805,78.698,91.7751479,80.295858,80.71,83.92307692,84.32544379,84.39053254,84.46745562,83.66272189,84.53846154,84.24852071
FaceFour,95.11(0.89),81.5(2.6),92.8(0.9),92.8(0.9),92.04545455,95.45454545,95.45454545,96.59090909,95.5(0.0),84.0(1.4),26.8(5.7),29.5(0.0),71.2(13.5),90.6(1.1),85.5(6.2),88.6,83,95.22,100,90.90909091,92.6136364,85.22727273,100,100,89.7727273,95.4545455,95.45,95.34090909,95.56818182,95.68181818,95.34090909,95.34090909,95.45454545,95.45454545
FacesUCR,96.74(0.15),87.4(0.4),94.6(0.2),94.6(0.2),95.36585366,94.63414634,94.09756098,94.58536585,95.5(0.4),83.3(0.3),15.3(2.7),14.3(0.0),75.6(5.1),86.9(0.7),64.4(2.0),91.2,90.5,94.13,86.68292683,94.48780488,92.8292683,90.58536585,95.7073171,95.22,94.2439024,96.2926829,97.12,96.96585366,97.11219512,97.04878049,97.09268293,97.12195122,97.14634146,97.1804878
FiftyWords,81.6(0.86),72.3(1.0),62.7(6.1),62.7(6.1),75.38461538,80.21978022,79.12087912,81.97802198,74.0(1.5),68.4(7.1),22.0(24.3),12.5(0.0),58.9(5.3),62.1(1.0),49.6(2.6),76.5,69,76.81,75.82417582,81.97802198,80,70.54945055,70.5494505,81.099,79.7802198,80.8791209,83.08,83.0989011,83.25274725,83.25274725,83.95604396,84.06593407,83.78021978,84.06593407
Fish,98.74(0.8),86.6(0.9),95.8(0.6),95.8(0.6),99.42857143,100,100,97.71428571,97.9(0.8),84.8(0.8),13.4(1.3),12.6(0.0),75.8(3.9),84.9(0.5),87.5(3.4),84.6,82.3,93.37,83.42857143,96.57142857,90.9142857,98.85714286,98.8571429,96.571,98.2857143,98.8571429,98.29,98.74285714,98.85714286,98.85714286,99.02857143,98.91428571,98.91428571,99.2
FordA,95.48(0.27),92.3(0.3),90.4(0.2),90.4(0.2),92.72727273,93.56060606,95,94.77272727,92.0(0.4),73.0(0.4),51.3(0.0),51.0(0.8),79.5(2.6),88.1(0.7),52.8(2.1),69.1,55.5,95.6818182,85,73.78787879,84.6969697,97.12121212,92.9545455,97.273,95.6818182,96.4393939,96.14,95.82575758,95.88636364,95.90151515,95.9469697,95.90909091,95.95454545,95.91666667
FordB,83.79(0.92),89.0(0.5),87.8(0.6),87.8(0.6),82.22222222,84.69135802,83.7037037,81.60493827,91.3(0.3),60.3(0.3),49.8(1.2),51.2(0.0),53.3(2.9),80.6(1.5),50.3(1.2),60.7,62,91.7283951,59.87654321,66.17283951,69.6790123,80.74074074,71.1111111,83.21,80.3703704,82.345679,86.17,84.09876543,84.50617284,84.08641975,84.17283951,84.09876543,84.12345679,84.22222222
GunPoint,99.93(0.2),93.6(3.2),100.0(0.0),100.0(0.0),99.33333333,99.33333333,98,98.66666667,99.1(0.7),92.7(1.1),51.3(3.9),49.3(0.0),86.7(9.6),93.2(1.9),96.1(2.3),91.3,90.7,100,98.66666667,99.33333333,99.3333333,100,100,100,100,100,100,99.86666667,100,99.93333333,100,100,100,100
Ham,70.38(1.16),72.7(1.2),71.8(1.4),71.8(1.4),72.38095238,74.28571429,61.9047619,66.66666667,75.7(2.7),69.1(1.4),50.6(1.4),51.4(0.0),73.3(4.2),71.1(2.0),72.3(6.3),60,46.7,66.66666667,76.19047619,57.14285714,63.9047619,68.57142857,66.6666667,65.714,64.7619048,66.6666667,71.43,70,69.80952381,69.61904762,70.57142857,69.33333333,69.80952381,70.47619048
HandOutlines,92.95(2.52),89.9(2.3),80.6(7.9),80.6(7.9),75.67567568,71.35135135,81.62162162,94.32432432,91.1(1.4),91.8(0.5),64.1(0.0),64.1(0.0),90.9(0.6),88.8(1.2),66.0(0.7),86.2,88.1,48.1081081,85.40540541,88.91891892,90.6756757,93.24324324,90.2702703,94.865,91.8918919,93.2432432,95.41,94.13513514,95.13513514,95.2972973,95.51351351,95.59459459,95.32432432,95.40540541
Haptics,51.01(1.36),42.7(1.6),48.0(2.4),48.0(2.4),52.27272727,52.92207792,50.32467532,49.02597403,51.9(1.2),43.3(1.4),20.9(3.5),20.8(0.0),40.4(3.3),36.6(2.4),40.4(4.5),41.2,37.7,46.82,49.02597403,39.28571429,45.1298701,52.27272727,46.1038961,38.636,52.2727273,51.9480519,54.87,51.94805195,52.14285714,51.91558442,52.04545455,52.20779221,52.24025974,52.17532468
Herring,60.78(4.04),58.6(4.8),60.8(7.7),60.8(7.7),64.0625,57.8125,59.375,56.25,61.9(3.8),52.8(3.9),59.4(0.0),59.4(0.0),60.0(5.2),53.9(1.7),59.1(6.5),53.1,53.1,62.5,64.0625,57.8125,60,67.1875,54.6875,65.625,62.5,68.75,67.19,62.5,62.5,61.40625,61.5625,61.71875,62.65625,62.5
InlineSkate,42.93(2.52),29.2(0.9),33.9(0.8),33.9(0.8),38.36363636,34,40,39.63636364,37.3(0.9),33.7(1.0),16.7(1.6),16.5(1.1),21.5(2.2),28.7(1.2),33.0(6.8),38.7,38.4,42.73,38.54545455,46,42.2727273,37.27272727,51.6363636,61.273,49.4545455,50,49.09,45.78181818,45.56363636,46.12727273,44.27272727,46.47272727,46.69090909,46.87272727
InsectWingbeatSound,63.52(0.44),63.3(0.6),39.3(0.6),39.3(0.6),48.93939394,60.95959596,62.72727273,62.97979798,50.7(0.9),60.7(0.4),15.8(14.2),9.1(0.0),58.3(2.6),58.3(0.6),43.7(2.0),57.8,35.5,60.60606061,62.47474747,59.49494949,61.4141414,62.67676768,52.3232323,64.04,65.2525253,65.5050505,63.89,63.6969697,64.02525253,63.87373737,64.06565657,64.14646465,64.01010101,64.04040404
ItalyPowerDemand,94.72(0.28),96.5(0.5),96.1(0.3),96.1(0.3),96.11273081,95.33527697,96.79300292,96.89018465,96.3(0.4),95.4(0.2),50.0(0.2),49.9(0.0),95.5(1.9),95.5(0.4),88.0(2.2),95.5,95,96.95,88.33819242,96.20991254,96.3848397,94.75218659,90.8649174,95.141,96.1127308,96.3070943,96.5,94.83965015,94.96598639,94.99514091,94.99514091,95.00485909,95.05344995,95.00485909
LargeKitchenAppliances,89.57(0.98),61.9(2.6),90.2(0.4),90.2(0.4),88.26666667,88.8,87.2,85.33333333,90.0(0.5),47.3(0.6),41.0(16.5),33.3(0.0),43.4(2.8),66.6(5.0),77.9(1.8),79.5,79.5,70.13333333,52.8,81.06666667,75.3866667,85.86666667,76.5333333,68.267,84.5333333,86.4,90.4,89.73333333,90.02666667,90.16,90.02666667,90.24,89.97333333,90.26666667
Lightning2,80.66(1.61),69.2(4.6),73.9(1.4),73.9(1.4),83.60655738,80.32786885,80.32786885,77.04918033,77.0(1.7),67.0(2.1),55.7(5.2),54.1(0.0),63.0(5.9),63.6(2.5),70.3(4.1),86.9,86.9,82.3,73.7704918,88.52459016,85.2459016,73.7704918,83.6065574,55.738,86.8852459,81.9672131,77.05,80.49180328,80.6557377,80.6557377,80.98360656,80.6557377,80.81967213,80.81967213
Lightning7,79.32(2.07),62.5(2.3),82.7(2.3),82.7(2.3),82.19178082,82.19178082,80.82191781,72.60273973,84.5(2.0),63.0(1.7),31.0(11.3),26.0(0.0),53.4(5.9),65.1(3.3),66.4(6.6),71.2,72.6,80.27,72.60273973,76.71232877,80.4109589,72.60273973,68.4931507,71.233,80.8219178,73.9726027,83.56,80.54794521,79.7260274,79.7260274,80.2739726,79.8630137,79.17808219,80.54794521
Mallat,96.38(1.02),87.6(2.0),96.7(0.9),96.7(0.9),95.01066098,96.63113006,94.88272921,95.52238806,97.2(0.3),91.8(0.6),13.5(3.7),12.3(0.1),90.1(5.7),92.0(0.7),59.6(9.8),91.4,93.4,95.43,96.03411514,93.98720682,95.6972281,96.41791045,93.8166311,96.546,95.3944563,96.2046908,95.52,96.91684435,96.95948827,96.95095949,97.00639659,97.23667377,97.13859275,97.23667377
Meat,94.67(2.45),74.2(11.0),85.3(6.9),85.3(6.9),95,93.33333333,90,100,96.8(2.5),89.7(1.7),33.3(0.0),33.3(0.0),70.5(8.8),90.2(1.8),96.8(2.0),93.3,93.3,73.33333333,93.33333333,93.33333333,93.3333333,85,90,91.667,91.6666667,93.3333333,93.33,95.83333333,96.16666667,95.66666667,96.16666667,96.16666667,96.5,96.5
MedicalImages,76.95(0.52),73.4(1.5),77.9(0.4),77.9(0.4),73.02631579,73.68421053,70.65789474,71.84210526,77.0(0.7),72.1(0.7),51.4(0.0),51.4(0.0),64.0(1.4),67.6(1.1),64.9(2.7),74.7,73.7,72.95,70.52631579,74.21052632,75.6973684,66.97368421,71.8421053,74.079,75.7894737,77.7631579,79.47,77.48684211,77.43421053,77.55263158,77.72368421,77.55263158,77.67105263,77.5
MiddlePhalanxOutlineAgeGroup,53.64(2.2),57.9(2.9),55.3(1.8),55.3(1.8),53.8961039,44.15584416,47.4025974,45.45454545,56.9(2.1),53.1(1.8),18.8(0.0),57.1(0.0),58.5(3.8),56.6(1.5),58.1(2.6),51.9,50,78.00687285,81.44329897,78.35051546,57.5324675,79.3814433,54.5454545,60.39,80.4123711,59.7402597,55.19,53.76623377,54.74025974,54.15584416,55.32467532,55.06493506,55.19480519,54.80519481
MiddlePhalanxOutlineCorrect,81.41(1.4),76.1(2.3),80.1(1.0),80.1(1.0),80.41237113,76.97594502,80.41237113,79.3814433,80.9(1.2),77.0(1.1),57.0(0.0),57.0(0.0),81.1(1.6),76.6(1.3),74.4(2.3),76.6,69.8,57.14285714,57.79220779,55.84415584,82.1993127,64.28571429,78.0068729,80.756,63.6363636,83.161512,81.79,82.98969072,83.05841924,82.88659794,83.26460481,83.43642612,83.16151203,83.71134021
MiddlePhalanxTW,51.95(3.11),59.2(1.0),51.2(1.8),51.2(1.8),51.94805195,53.8961039,51.2987013,51.2987013,48.4(2.0),53.4(1.6),27.3(0.0),28.6(0.0),58.1(2.4),54.9(1.7),53.9(2.9),50.6,50.6,50.64935065,59.74025974,51.2987013,54.2207792,51.94805195,54.5454545,53.896,57.1428571,57.1428571,51.3,52.5974026,52.07792208,52.85714286,52.79220779,52.85714286,52.33766234,52.92207792
MoteStrain,92.64(0.84),84.0(1.0),93.7(0.5),93.7(0.5),89.77635783,88.01916933,85.22364217,85.30351438,92.8(0.5),85.8(0.9),50.8(4.0),53.9(0.0),76.5(14.4),88.2(0.9),78.5(4.2),86.6,83.5,91.29,90.33546326,88.25878594,88.8578275,89.69648562,87.8594249,93.53,93.6900958,93.2907348,88.66,92.67571885,93.01916933,93.14696486,93.12300319,93.26677316,93.32268371,93.34664537
NonInvasiveFetalECGThorax1,96.27(0.34),91.6(0.4),95.6(0.3),95.6(0.3),95.11450382,94.55470738,94.1475827,94.45292621,94.5(0.3),91.6(0.4),16.1(29.3),2.9(0.0),90.5(1.2),86.5(0.5),49.4(4.2),81.1,79,86.92,84.22391858,84.58015267,90.524173,94.96183206,83.8167939,92.875,93.129771,93.0279898,96.08,96.5394402,96.58015267,96.61577608,96.64122137,96.64631043,96.66157761,96.65139949
NonInvasiveFetalECGThorax2,96.01(0.29),93.2(0.9),95.3(0.3),95.3(0.3),94.65648855,95.01272265,94.24936387,95.11450382,94.6(0.3),91.7(0.3),16.0(29.2),2.9(0.0),91.5(1.5),89.8(0.3),52.5(3.2),88,86.5,91.14,86.15776081,91.34860051,93.4147583,95.11450382,90.0763359,94.148,94.5547074,94.4529262,96.39,96.46819338,96.60559796,96.65139949,96.72773537,96.85496183,96.84987277,96.90585242
OliveOil,78.67(5.81),40.0(0.0),72.3(16.6),72.3(16.6),70,50,73.33333333,80,83.0(8.5),66.7(3.8),38.0(4.2),38.0(4.2),40.0(0.0),40.0(0.0),79.0(6.1),86.7,83.3,44,83.33333333,86.66666667,86.6666667,90,86.6666667,93.333,90,90,83.33,80.33333333,80,82,83,82.66666667,82.66666667,83.33333333
OSULeaf,94.01(0.96),57.6(2.0),97.7(0.9),97.7(0.9),98.34710744,95.04132231,86.7768595,88.01652893,97.9(0.8),55.7(1.0),24.3(12.8),18.2(0.0),37.8(4.6),46.2(2.7),59.5(5.4),61.2,59.1,81.82,76.03305785,80.5785124,72.7272727,96.69421488,95.4545455,89.669,96.6942149,97.9338843,94.21,94.66942149,94.75206612,94.62809917,94.91735537,94.7107438,94.87603306,95.04132231
PhalangesOutlinesCorrect,82.97(0.95),76.7(1.4),82.0(0.5),82.0(0.5),80.18648019,75.52447552,79.13752914,79.25407925,83.9(1.2),73.5(2.1),61.3(0.0),61.3(0.0),80.3(1.1),77.1(4.7),65.4(0.4),76.1,72.8,76.45687646,82.98368298,77.27272727,80.8857809,76.34032634,77.1561772,81.702,77.039627,80.6526807,84.97,83.41491841,84.25407925,84.25407925,84.27738928,84.26573427,84.54545455,84.53379953
Phoneme,30.45(0.61),17.2(0.8),32.5(0.5),32.5(0.5),34.28270042,30.01054852,29.95780591,30.11603376,33.4(0.7),9.6(0.3),13.2(4.0),11.3(0.0),13.0(1.0),9.5(0.3),12.8(1.4),22.7,22.8,21.835443,27.6371308,30.48523207,30.5485232,32.06751055,26.4767932,32.648,34.9156118,38.2383966,34.12,31.27637131,31.61392405,32.00949367,31.93037975,32.17299578,32.26265823,32.32067511
Plane,100.0(0.0),97.6(0.8),100.0(0.0),100.0(0.0),100,100,99.04761905,99.04761905,100.0(0.0),97.8(0.5),13.0(4.5),13.4(1.4),96.5(3.2),96.5(1.4),100.0(0.0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ProximalPhalanxOutlineAgeGroup,84.39(0.98),84.4(1.3),83.1(1.3),83.1(1.3),82.43902439,82.92682927,85.85365854,78.53658537,85.3(0.8),85.6(0.5),48.8(0.0),48.8(0.0),83.8(0.8),82.8(1.6),84.4(0.5),78.5,80.5,84.87972509,87.28522337,80.75601375,84.3902439,88.3161512,83.4146341,84.878,86.9415808,85.8536585,84.88,84.53658537,84.87804878,84.29268293,84.48780488,84.48780488,84.53658537,84.73170732
ProximalPhalanxOutlineCorrect,90.79(0.68),79.1(1.8),90.3(0.7),90.3(0.7),88.3161512,86.94158076,85.91065292,86.59793814,92.1(0.6),73.3(1.8),68.4(0.0),68.4(0.0),87.3(1.8),81.2(2.6),82.1(0.9),79,78.4,83.41463415,84.87804878,80.48780488,85.3264605,84.3902439,84.8797251,89.691,85.3658537,87.9725086,93.13,91.82130584,91.99312715,92.06185567,92.06185567,92.3024055,92.4742268,92.71477663
ProximalPhalanxTW,77.32(0.66),81.2(1.1),76.7(0.9),76.7(0.9),79.51219512,71.2195122,80.48780488,78.04878049,78.0(1.7),76.7(0.7),35.1(0.0),34.6(1.0),79.7(1.3),78.3(1.2),78.1(0.7),75.6,75.6,77.56097561,80.97560976,76.58536585,77.3170732,80.48780488,80,80.976,78.0487805,81.4634146,77.56,77.46341463,77.85365854,77.75609756,77.70731707,77.75609756,77.80487805,77.90243902
RefrigerationDevices,50.29(1.23),48.8(1.9),50.8(1.0),50.8(1.0),52.53333333,52.8,48.26666667,49.06666667,52.5(2.5),37.9(2.1),33.3(0.0),33.3(0.0),36.9(3.8),43.9(1.0),50.1(1.5),44,46.4,51.46666667,47.2,43.73333333,53.1733333,58.13333333,49.8666667,53.867,54.6666667,55.7333333,51.73,50,50.18666667,50.58666667,50.02666667,50.18666667,50.37333333,50.53333333
ScreenType,52.64(2.42),38.3(2.2),62.5(1.6),62.5(1.6),58.66666667,50.4,44.53333333,41.6,62.2(1.4),40.3(1.0),34.1(2.4),33.3(0.0),42.7(1.8),38.9(0.9),43.1(4.7),41.1,39.7,42.93333333,50.93333333,44.53333333,45.6266667,52,46.4,54.667,54.6666667,58.9333333,58.93,53.25333333,51.70666667,52.64,53.49333333,53.2,52.77333333,52.96
ShapeletSim,79.94(4.48),53.0(4.7),72.4(5.6),72.4(5.6),67.77777778,66.11111111,87.77777778,89.44444444,77.9(15.0),50.3(3.1),50.0(0.0),50.0(0.0),50.7(4.1),50.0(1.3),61.7(10.2),70,65,95,96.11111111,81.66666667,75.9444444,95.55555556,100,100,96.1111111,100,95.56,81.55555556,82.16666667,84.55555556,83.61111111,84.33333333,83.61111111,84.77777778
ShapesAll,92.03(0.78),75.8(0.9),89.5(0.4),89.5(0.4),90.66666667,92,92.5,91.33333333,92.1(0.4),77.1(0.5),13.2(24.3),1.7(0.0),61.3(5.3),61.9(0.9),62.9(2.6),80.2,76.8,76.8333333,18.5,86.66666667,85.3166667,84.16666667,90.8333333,91.833,89.1666667,90.5,92.83,92.73333333,92.85,92.78333333,92.93333333,93,93.1,93.03333333
SmallKitchenAppliances,72.08(0.81),59.6(1.8),78.3(1.3),78.3(1.3),74.13333333,66.93333333,66.4,64.26666667,78.6(0.8),37.1(1.9),36.9(11.3),33.3(0.0),48.5(3.6),61.5(2.7),65.6(1.9),67.2,64.3,66.4,67.2,69.6,73.3866667,79.2,72.5333333,78.933,77.6,85.3333333,76,72.98666667,73.76,73.68,74.13333333,74.02666667,74.08,74.16
